rtol_scaled,atol_scaled,required,harmful_pass_k,harmful_pass_n,harmful_pass,harmful_pass_ci95_low,harmful_pass_ci95_high,benign_reject_k,benign_reject_n,benign_reject,benign_reject_ci95_low,benign_reject_ci95_high
1e-06,1e-07,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-06,1e-06,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-06,1e-05,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-06,0.0001,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-06,0.001,False,32,48,0.6666666666666666,0.5253984633247204,0.783233986291032,80,144,0.5555555555555556,0.47399938221692756,0.6342245547534517
1e-05,1e-07,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-05,1e-06,True,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-05,1e-05,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-05,0.0001,False,0,48,0.0,6.938893903907228e-18,0.0741026511527422,144,144,1.0,0.974015432733412,0.9999999999999999
1e-05,0.001,False,32,48,0.6666666666666666,0.5253984633247204,0.783233986291032,80,144,0.5555555555555556,0.47399938221692756,0.6342245547534517
0.0001,1e-07,False,17,48,0.3541666666666667,0.23433457112685735,0.4956120354593591,134,144,0.9305555555555556,0.8768902402422171,0.961845271278221
0.0001,1e-06,False,17,48,0.3541666666666667,0.23433457112685735,0.4956120354593591,134,144,0.9305555555555556,0.8768902402422171,0.961845271278221
0.0001,1e-05,False,17,48,0.3541666666666667,0.23433457112685735,0.4956120354593591,133,144,0.9236111111111112,0.8683944027724343,0.9568131166267065
0.0001,0.0001,False,19,48,0.3958333333333333,0.2702062649595057,0.5368984540306487,126,144,0.875,0.8110615834667573,0.9194499910833017
0.0001,0.001,False,33,48,0.6875,0.5466666274950367,0.800544878322685,80,144,0.5555555555555556,0.47399938221692756,0.6342245547534517
0.001,1e-07,False,32,48,0.6666666666666666,0.5253984633247204,0.783233986291032,86,144,0.5972222222222222,0.5155952900234319,0.6737965996747316
0.001,1e-06,False,32,48,0.6666666666666666,0.5253984633247204,0.783233986291032,86,144,0.5972222222222222,0.5155952900234319,0.6737965996747316
0.001,1e-05,False,32,48,0.6666666666666666,0.5253984633247204,0.783233986291032,86,144,0.5972222222222222,0.5155952900234319,0.6737965996747316
0.001,0.0001,False,32,48,0.6666666666666666,0.5253984633247204,0.783233986291032,84,144,0.5833333333333334,0.5016671206188175,0.6606687848367512
0.001,0.001,False,33,48,0.6875,0.5466666274950367,0.800544878322685,80,144,0.5555555555555556,0.47399938221692756,0.6342245547534517
0.01,1e-07,False,47,48,0.9791666666666666,0.8910053086246883,0.9963129840206002,67,144,0.4652777777777778,0.38577089078269367,0.5465891486108194
0.01,1e-06,False,47,48,0.9791666666666666,0.8910053086246883,0.9963129840206002,67,144,0.4652777777777778,0.38577089078269367,0.5465891486108194
0.01,1e-05,False,47,48,0.9791666666666666,0.8910053086246883,0.9963129840206002,67,144,0.4652777777777778,0.38577089078269367,0.5465891486108194
0.01,0.0001,False,47,48,0.9791666666666666,0.8910053086246883,0.9963129840206002,67,144,0.4652777777777778,0.38577089078269367,0.5465891486108194
0.01,0.001,False,47,48,0.9791666666666666,0.8910053086246883,0.9963129840206002,65,144,0.4513888888888889,0.37242525672590476,0.5328787984250135
